Date,MSFT
2020-04-07,-1.779998779296875
2020-04-08,1.6399993896484375
2020-04-09,0.0099945068359375
2020-04-13,0.3699951171875
2020-04-14,8.19000244140625
2020-04-15,-1.8199920654296875
2020-04-16,5.1599884033203125
2020-04-17,1.5600128173828125
2020-04-20,-3.540008544921875
2020-04-21,-7.239990234375
2020-04-22,5.6999969482421875
2020-04-23,-2.100006103515625
2020-04-24,3.1300048828125
2020-04-27,-0.5
2020-04-28,-4.2400054931640625
2020-04-29,7.6199951171875
2020-04-30,1.7800140380859375
2020-05-01,-4.6399993896484375
2020-05-04,4.269989013671875
2020-05-05,1.9199981689453125
2020-05-06,1.779998779296875
2020-05-07,1.0600128173828125
2020-05-08,1.079986572265625
2020-05-11,2.0600128173828125
2020-05-12,-4.230010986328125
2020-05-13,-2.7599945068359375
2020-05-14,0.779998779296875
2020-05-15,2.6300048828125
2020-05-18,1.75
2020-05-19,-1.279998779296875
2020-05-20,2.029998779296875
2020-05-21,-2.230010986328125
2020-05-22,0.0800018310546875
2020-05-26,-1.9399871826171875
2020-05-27,0.239990234375
2020-05-28,-0.410003662109375
2020-05-29,1.850006103515625
2020-06-01,-0.4199981689453125
2020-06-02,2.0800018310546875
2020-06-03,0.4499969482421875
2020-06-04,-2.44000244140625
2020-06-05,4.279998779296875
2020-06-08,1.160003662109375
2020-06-09,1.44000244140625
2020-06-10,7.0399932861328125
2020-06-11,-10.569992065429688
2020-06-12,1.470001220703125
2020-06-15,1.1999969482421875
2020-06-16,4.6300048828125
2020-06-17,0.6699981689453125
2020-06-18,2.0800018310546875
2020-06-19,-1.170013427734375
2020-06-22,5.420013427734375
2020-06-23,1.339996337890625
2020-06-24,-4.07000732421875
2020-06-25,2.5
2020-06-26,-4.0099945068359375
2020-06-29,2.1100006103515625
2020-06-30,5.0699920654296875
2020-07-01,1.19000244140625
2020-07-02,1.55999755859375
2020-07-06,4.44000244140625
2020-07-07,-2.4499969482421875
2020-07-08,4.5800018310546875
2020-07-09,1.4900054931640625
2020-07-10,-0.6500091552734375
2020-07-13,-6.5999908447265625
2020-07-14,1.279998779296875
2020-07-15,-0.3100128173828125
2020-07-16,-4.1199951171875
2020-07-17,-1.0399932861328125
2020-07-20,8.720001220703125
2020-07-21,-2.850006103515625
2020-07-22,3.0
2020-07-23,-9.210006713867188
2020-07-24,-1.239990234375
2020-07-27,2.5500030517578125
2020-07-28,-1.8300018310546875
2020-07-29,2.0399932861328125
2020-07-30,-0.160003662109375
2020-07-31,1.1100006103515625
2020-08-03,11.529998779296875
2020-08-04,-3.25
2020-08-05,-0.3499908447265625
2020-08-06,3.410003662109375
2020-08-07,-3.8700103759765625
2020-08-10,-4.2299957275390625
2020-08-11,-4.8699951171875
2020-08-12,5.80999755859375
2020-08-13,-0.4900054931640625
2020-08-14,0.1999969482421875
2020-08-17,1.3800048828125
2020-08-18,1.2100067138671875
2020-08-19,-1.790008544921875
2020-08-20,4.8800048828125
2020-08-21,-1.55999755859375
2020-08-24,0.6699981689453125
2020-08-25,2.779998779296875
2020-08-26,4.67999267578125
2020-08-27,5.4300079345703125
2020-08-28,2.3300018310546875
2020-08-31,-3.3800048828125
2020-09-01,1.7400054931640625
2020-09-02,4.3799896240234375
2020-09-03,-14.349990844726562
2020-09-04,-3.0500030517578125
2020-09-08,-11.589996337890625
2020-09-09,8.629989624023438
2020-09-10,-5.9199981689453125
2020-09-11,-1.339996337890625
2020-09-14,1.3800048828125
2020-09-15,3.3699951171875
2020-09-16,-3.7299957275390625
2020-09-17,-2.1399993896484375
2020-09-18,-2.5200042724609375
2020-09-21,2.149993896484375
2020-09-22,4.8800048828125
2020-09-23,-6.8300018310546875
2020-09-24,2.600006103515625
2020-09-25,4.6300048828125
2020-09-28,1.6199951171875
2020-09-29,-2.1800079345703125
2020-09-30,3.07000732421875
2020-10-01,2.1300048828125
2020-10-02,-6.2700042724609375
2020-10-05,4.19000244140625
2020-10-06,-4.470001220703125
2020-10-07,3.9199981689453125
2020-10-08,0.75
2020-10-09,5.2299957275390625
2020-10-12,5.589996337890625
2020-10-13,1.4600067138671875
2020-10-14,-2.0
2020-10-15,-1.1999969482421875
2020-10-16,0.0
2020-10-19,-5.44000244140625
2020-10-20,0.42999267578125
2020-10-21,0.1500091552734375
2020-10-22,0.089996337890625
2020-10-23,1.339996337890625
2020-10-26,-6.149993896484375
2020-10-27,3.1699981689453125
2020-10-28,-10.57000732421875
2020-10-29,2.040008544921875
2020-10-30,-2.25
2020-11-02,-0.1399993896484375
2020-11-03,4.0999908447265625
2020-11-04,9.960006713867188
2020-11-05,6.899993896484375
2020-11-06,0.4300079345703125
2020-11-09,-5.3300018310546875
2020-11-10,-7.3800048828125
2020-11-11,5.540008544921875
2020-11-12,-1.1100006103515625
2020-11-13,1.0699920654296875
2020-11-16,0.720001220703125
2020-11-17,-2.769989013671875
2020-11-18,-3.3800048828125
2020-11-19,1.339996337890625
2020-11-20,-2.029998779296875
2020-11-23,-0.279998779296875
2020-11-24,3.75
2020-11-25,0.0099945068359375
2020-11-27,1.3600006103515625
2020-11-30,-1.1599884033203125
2020-12-01,2.1399993896484375
2020-12-02,-0.8400115966796875
2020-12-03,-1.1299896240234375
2020-12-04,0.1199951171875
2020-12-07,-0.07000732421875
2020-12-08,1.720001220703125
2020-12-09,-4.209991455078125
2020-12-10,-1.279998779296875
2020-12-11,2.739990234375
2020-12-14,0.94000244140625
2020-12-15,-0.0699920654296875
2020-12-16,5.149993896484375
2020-12-17,0.1399993896484375
2020-12-18,-0.8300018310546875
