Date,AAPL
2020-04-07,-0.7600021362304688
2020-04-08,1.660003662109375
2020-04-09,0.4799957275390625
2020-04-13,1.31500244140625
2020-04-14,3.4499969482421875
2020-04-15,-0.654998779296875
2020-04-16,0.56500244140625
2020-04-17,-0.972503662109375
2020-04-20,-1.467498779296875
2020-04-21,-2.1399993896484375
2020-04-22,1.9325027465820312
2020-04-23,-0.2675018310546875
2020-04-24,1.9850006103515625
2020-04-27,0.0500030517578125
2020-04-28,-1.1475067138671875
2020-04-29,2.287506103515625
2020-04-30,1.5174942016601562
2020-05-01,-1.1824951171875
2020-05-04,1.0224990844726562
2020-05-05,1.0999984741210938
2020-05-06,0.7675018310546875
2020-05-07,0.777496337890625
2020-05-08,1.597503662109375
2020-05-11,1.220001220703125
2020-05-12,-0.9000015258789062
2020-05-13,-0.94000244140625
2020-05-14,0.472503662109375
2020-05-15,-0.4575042724609375
2020-05-18,1.8125
2020-05-19,-0.45499420166015625
2020-05-20,1.5224990844726562
2020-05-21,-0.595001220703125
2020-05-22,0.5100021362304688
2020-05-26,-0.5400009155273438
2020-05-27,0.34499359130859375
2020-05-28,0.035003662109375
2020-05-29,-0.0774993896484375
2020-06-01,0.9775009155273438
2020-06-02,0.37249755859375
2020-06-03,0.44499969482421875
2020-06-04,-0.6999969482421875
2020-06-05,2.2949981689453125
2020-06-08,0.48999786376953125
2020-06-09,2.6324996948242188
2020-06-10,2.2125015258789062
2020-06-11,-4.2350006103515625
2020-06-12,0.7249984741210938
2020-06-15,1.0475006103515625
2020-06-16,2.2724990844726562
2020-06-17,-0.12249755859375
2020-06-18,0.035003662109375
2020-06-19,-0.50250244140625
2020-06-22,2.2874984741210938
2020-06-23,1.9150009155273438
2020-06-24,-1.6175003051757812
2020-06-25,1.1949996948242188
2020-06-26,-2.8024978637695312
2020-06-29,2.0374984741210938
2020-06-30,0.7549972534179688
2020-07-01,-0.1725006103515625
2020-07-02,0.0
2020-07-06,2.4350051879882812
2020-07-07,-0.29000091552734375
2020-07-08,2.1699981689453125
2020-07-09,0.410003662109375
2020-07-10,0.1674957275390625
2020-07-13,-0.44249725341796875
2020-07-14,1.5800018310546875
2020-07-15,0.6674957275390625
2020-07-16,-1.2024993896484375
2020-07-17,-0.19499969482421875
2020-07-20,2.029998779296875
2020-07-21,-1.3574981689453125
2020-07-22,0.27249908447265625
2020-07-23,-4.427497863769531
2020-07-24,-0.23000335693359375
2020-07-27,2.1949996948242188
2020-07-28,-1.5574951171875
2020-07-29,1.7874984741210938
2020-07-30,1.1500015258789062
2020-07-31,10.069999694824219
2020-08-03,2.6774978637695312
2020-08-04,0.7275009155273438
2020-08-05,0.39749908447265625
2020-08-06,3.839996337890625
2020-08-07,-2.7899932861328125
2020-08-10,1.6149978637695312
2020-08-11,-3.3525009155273438
2020-08-12,3.6350021362304688
2020-08-13,2.0
2020-08-14,-0.10250091552734375
2020-08-17,-0.3000030517578125
2020-08-18,0.9550018310546875
2020-08-19,0.14499664306640625
2020-08-20,2.5675048828125
2020-08-21,6.095001220703125
2020-08-24,1.4874954223632812
2020-08-25,-1.032501220703125
2020-08-26,1.6975021362304688
2020-08-27,-1.5124969482421875
2020-08-28,-0.2024993896484375
2020-08-31,4.232490539550781
2020-09-01,5.1399993896484375
2020-09-02,-2.779998779296875
2020-09-03,-10.519996643066406
2020-09-04,0.0800018310546875
2020-09-08,-8.139999389648438
2020-09-09,4.5
2020-09-10,-3.8300018310546875
2020-09-11,-1.4899978637695312
2020-09-14,3.3600006103515625
2020-09-15,0.18000030517578125
2020-09-16,-3.410003662109375
2020-09-17,-1.7900009155273438
2020-09-18,-3.5
2020-09-21,3.2400054931640625
2020-09-22,1.7299957275390625
2020-09-23,-4.689994812011719
2020-09-24,1.0999984741210938
2020-09-25,4.05999755859375
2020-09-28,2.6800003051757812
2020-09-29,-0.8700027465820312
2020-09-30,1.720001220703125
2020-10-01,0.9800033569335938
2020-10-02,-3.7700042724609375
2020-10-05,3.4800033569335938
2020-10-06,-3.339996337890625
2020-10-07,1.9199981689453125
2020-10-08,-0.1100006103515625
2020-10-09,2.0
2020-10-12,7.430000305175781
2020-10-13,-3.3000030517578125
2020-10-14,0.09000396728515625
2020-10-15,-0.48000335693359375
2020-10-16,-1.69000244140625
2020-10-19,-3.0399932861328125
2020-10-20,1.529998779296875
2020-10-21,-0.6399993896484375
2020-10-22,-1.1200027465820312
2020-10-23,-0.7099990844726562
2020-10-26,0.01000213623046875
2020-10-27,1.5499954223632812
2020-10-28,-5.400001525878906
2020-10-29,4.120002746582031
2020-10-30,-6.459999084472656
2020-11-02,-0.09000396728515625
2020-11-03,1.6700057983398438
2020-11-04,4.5099945068359375
2020-11-05,4.0800018310546875
2020-11-06,-0.339996337890625
2020-11-09,-2.3700027465820312
2020-11-10,-0.34999847412109375
2020-11-11,3.5199966430664062
2020-11-12,-0.279998779296875
2020-11-13,0.0500030517578125
2020-11-16,1.0400009155273438
2020-11-17,-0.910003662109375
2020-11-18,-1.3600006103515625
2020-11-19,0.6100006103515625
2020-11-20,-1.3000030517578125
2020-11-23,-3.4899978637695312
2020-11-24,1.3199996948242188
2020-11-25,0.8600006103515625
2020-11-27,0.55999755859375
2020-11-30,2.4600067138671875
2020-12-01,3.6699981689453125
2020-12-02,0.3600006103515625
2020-12-03,-0.1399993896484375
2020-12-04,-0.69000244140625
2020-12-07,1.5
2020-12-08,0.6299972534179688
2020-12-09,-2.5999984741210938
2020-12-10,1.4599990844726562
2020-12-11,-0.8299942016601562
2020-12-14,-0.6300048828125
